,climate_migration_displaced,climate_migration_dead,simple_migration,pop_dens_mean,energy_mean,fitness_mean
0,482.1738395053278,46.379824850639,0,0.3276641885127128,0.6135992308959364,0.33829079856527244
1,453.39499528207057,40.858694429105576,0,0.25985721295462993,0.5426054598516786,0.2421977118218812
2,514.0253804636098,18.810046755121597,0,0.2570126763461921,0.45938391264803086,0.1721860800991882
3,622.7722799196447,22.265471299471322,0,0.22159425591109505,0.36691814167160963,0.13108459495233282
4,705.5124484219014,16.79658037755822,0,0.2206261313783524,0.3013815294043866,0.10208375732303343
5,616.1252804598814,13.344269871886866,0,0.17207870367683387,0.24720556556798712,0.08135653277260799
6,472.06508604211876,9.587059235805903,0,0.1484022010939125,0.1979845264113775,0.06798459922684168
7,467.94477343761145,9.44030971119681,0,0.1235535380734474,0.1676309324663789,0.05704786568288102
8,458.66250741440126,7.791759544607672,0,0.11527706932213494,0.14346086759087698,0.05057982465901573
9,621.1263947505118,10.214676338231103,0,0.103689681295305,0.1365465138299004,0.04619218580052294
10,366.5596079317649,6.485044286766631,0,0.09882977970097377,0.11274453965855172,0.04450171499051901
11,324.9875385315591,5.781373728689557,0,0.09375895635121397,0.09858450760924169,0.042594203188026966
12,381.08199839296134,8.091571919591784,0,0.09008295589847677,0.09298652041080512,0.0420333584893694
13,309.73396864248235,5.096398983883161,0,0.08635927184382756,0.0851653669906421,0.04147283402819441
14,276.44199393517823,4.583119226099311,0,0.08388996652119352,0.07696826524870565,0.04225684619338898
15,237.3953886332242,3.655566826746996,0,0.08468259595643525,0.07032239471070346,0.04327233430503913
16,249.10106063653907,4.144795978653774,0,0.0833701355594377,0.06748689731610934,0.04437048762596499
17,241.63462541493507,3.8178613859662778,0,0.08119368634152602,0.06539446011555224,0.04551469034878627
18,277.53292113756703,4.633315833222538,0,0.08265778241561758,0.06530339238614967,0.04727809371217423
19,170.35683560400645,2.7880131067862712,0,0.07920868690386206,0.059432199736756515,0.04842362815031166
20,252.26730201171105,3.6755420953325606,0,0.08049273648135967,0.06117896188229315,0.049795563693410885
21,205.7033024270021,3.881205559021713,0,0.081816889504704,0.05876891791883714,0.0516651893069926
22,201.51318490433084,3.9385449333367344,0,0.08121136989337377,0.0577416316632059,0.05313675116807987
